,Date,1,2,3,4,5,6,7,8,9,10
20,2018-02-16,This chart warns that the 30-year downtrend in interest rates may be over,Cisco shares close at post-dot-com high as more than half of analysts hike price targets,Dow logs 3rd gain in a row ahead of key inflation report,Stocks close higher for fifth straight session as Dow reclaims 25;000-level,Bitcoin’s key problems illustrated by the ECB; in one simple chart,Stocks end higher for fifth straight session,McDonald’s Happy Meals will nix cheeseburgers starting in June,Nasdaq Composite climbs more than 1.5%,10-year Treasury yield retreats from 4-year high,S&P 500 up by 1.2%
21,2018-02-15,Florida police: Shooter in custody; with reports of 17 fatalities at Broward high school,Dow ends up 250 points as stock market marks longest win streak in about 5 weeks,10-year Treasury yield tops 2.90% as inflation data stokes rate-hike concerns,U.S. stocks gain for fourth session led by powerful Nasdaq rally,Five economic reasons not to panic over the stock-market roller coaster,Dow Jones Industrial Average closes up 1%,U.S. stocks close sharply higher; extending rally to fourth straight session,Nasdaq Composite Index closes up 1.9% on the day,S&P 500 ends 1.4% higher on the day,Dow's rally comes with panic-like buying; as NYSE's Arms falls to lowest level in 15 months
22,2018-02-14,U.S. stocks close higher for a third straight session,Dow climbs about 40 points or 0.2%; S&P 500 ends up 0.3%,Nasdaq ends 0.5% higher,U.S. stock benchmarks notch a third gain in a row as focus shifts to key inflation report,Nasdaq advances 0.5%,Stock market rises to session highs as gains in financials; consumer-staples stocks firm,Dow gains about 100 points or about 0.4%; S&P 500 rises 0.4%,Gold extends recovery as the dollar retreats,Fed’s Mester: Economy will ‘work through this episode of market turbulence’,Powell says Fed ‘will remain alert’ to any financial stability risks
23,2018-02-13,Stocks have already matched the number of 1% moves seen over all of 2017,Treasury yields rise as 30-year bond hits highest level since March,Stocks gain for second session as Dow rallies more than 400 points,This stock-market shakeout looks a lot like 1996-97,If Donald Trump really is like JFK; it could get even uglier for the stock market,S&P 500 posts largest two-day advance since June 2016,Nasdaq Composite Index closes at 1.6% gain,S&P 500 up by 1.4%,U.S. stocks jump; major indexes end more than 1% higher,S&P 500 up by 1.4%
24,2018-02-12,History suggests the correction isn’t near over; as this chart demonstrates,What technical analysts say about the stock-market collapse after the Dow; S&P 500 fall into correction,Remember when the head of the world’s largest hedge fund said you’d ‘feel pretty stupid’ holding cash? How’d that work out?,Did the stock market crash? Do the math; and check the yield curve,Reports of the bull market’s death were greatly exaggerated,Volatity aftershocks? Here’s what stock-market investors need to know,How Viacom plans to turn Paramount Pictures around by 2019,Eye-popping Nvidia earnings send stock soaring; but automotive business still stalled,This guy lost $10;000 trying to time this volatile market — using his credit card,Some millennials wonder whether it’s finally time to take the plunge into stocks
25,2018-02-11,A ‘Powell put’ for the stock market? Don’t even think about it,Here’s how the stock market typically performs in the aftermath of a major rout,The stock market has turned turbulent: Here’s what advisers say you should do,Fox News commentator Sean Hannity on stock-market drop: Thanks; Obama,Jim Cramer blames a ‘group of complete morons’ for blowing up the market,Tax overhaul will lead to as many ratings downgrades as upgrades; says S&P,Ex-regulator says warnings for risky volatility bets should be in ‘big; bold 24-point font and in red letters’,Weekend roundup: What to do when stocks drop | Don’t misuse a daily trading tool | Should investors fear rising U.S. wages?,The biggest risks we face have nothing to do with plunging stock prices,Dow Jones Industrial Average rebounds; powered by Nike and Microsoft
26,2018-02-10,Who remembers the good old days of rising stocks and a robust economy?,Bitcoin trades higher as equities bounce around,Dollar on track for best week since December 2016 amid global turmoil,2-year Treasury yield sees biggest fall since June 2016,Weekly U.S. stock-market volume highest since August 2011,Markets out of whack? Investors say we’re only getting back to normal,U.S. stocks bounce back from correction territory but record sizable weekly losses,Dow; S&P 500 have biggest weekly percentage drop since January 2016,Nasdaq has biggest weekly percentage drop since February 2016,For the week; Dow down 5.2%; S&P down 5.2%; Nasdaq down 5.1%
27,2018-02-09,Volatility shock wave has wiped $5.2 trillion from global markets; sent five sectors into correction territory,Trump says stock selloff a ‘big mistake’ because economy ‘great;’ but that’s exactly why investors are nervous,Could stock market volatility cause house prices to fall?,The Dow has just shed 2;800 points in 9 sessions as stock-market enters correction phase,Oil futures erase their year-to-date gains in electronic trading,Dow falls into correction territory with a 1;030-point tumble; drops 10% from its peak,Boeing's stock contributes about 10% of the Dow's 1;030-point tumble,Media mentions of ‘buy the dip’ have never been higher. So... buy the dip?,Haven currencies rally as stock selloff picks up steam,10-year Treasury yields holds on to rise even as stocks tumble
28,2018-02-08,Dollar index extends gains as lawmakers agree to 2-year budget deal,Trump Today: President calls stock market drop a ‘mistake’ as he meets regulator,The Dow; S&P 500 just blew their biggest leads since August 2015,U.S. stocks finish lower in volatile trade as investors fret over rising yields,Consumer borrowing stays strong in December,Stocks cough up gains to end lower as bond yields resume rise,Dow ends about 20 points lower; down 0.1%; at 24;893,S&P 500 falls 0.5% at 2;681,Nasdaq Composite ends 0.9% lower at 7;051,Dow ends lower in whipsaw action for stock market as bond yields resume rise
29,2018-02-07,The stock market’s swoon demands a new narrative,CORRECTION: Dow closes up 2.3%; biggest one-day percentage gain since Jan. 29; 2016,U.S. stocks snap selling spree to close higher in volatile trading,U.S. stocks rebound after worst selloff in more than 6 years,Live blog recap: Dow rebounds more than 550 points in volatile session,Why buying the dip may still be alive and well,Dollar defends modest gains as equities finish back in the green,Treasury yields trim decline as stocks come roaring back,Why the Dow Jones Industrial Average has suddenly become a hot mess,S&P 500 ends 1.8% higher; biggest one-day percentage gain since November 2016
30,2018-02-06,Dow ends more than 1;100 points lower as selloff deepens,What the Trump White House says about this sharp stock-market reversal,As markets tumbled; investment firms’ websites suffered outages,Why stock-market investors might need to worry more about fiscal policy than the Fed,Banks ease standards on business loans in fourth quarter; but demand stays flat,The Federal Reserve inflated stock prices for years — now comes the scary unwinding,Dollar extends slight gains as global equity markets slump,NYSE selling hits panic-like levels; Arms Index suggests,Dow plunges 1;600 points at lows; marks worst intraday point drop in history; on computer-driven selling,Dow suffers biggest point drop ever as stocks close broadly lower
31,2018-02-05,Dow drops 300 points as stocks extend selloff,Nasdaq Composite falls 1.1% to 7;163,S&P 500 down 0.8% at 2;739,Dow industrials fall more than 300 points,Stocks open broadly lower to extend global equity selloff,Yellen not troubled by near-decade duration of post-financial-crisis economic recovery,Apple's stock set to trade below 200-day moving average first time since July 2016,5 high-risk; high-reward stocks to buy on the stock market’s dive,Bristol-Myers surges 5.6% on advanced lung cancer trial results; Q4 earnings,Here’s what we actually know about the Amazon; Berkshire and J.P. Morgan health initiative (hint: very little)
32,2018-02-04,Wall Street selloff spreads to Asia; Nikkei has worst day in more than a year,Here’s where buyers will step in as stocks keep falling; say chart watchers,Weekend roundup: Bragging about your 401(k) million | What not to do with that million | Stock trends to pay off in any market,Amazon heads toward $700 billion valuation thanks to Alexa; AWS and tax gains,Apple has $163 billion to burn; and Tim Cook plans to spend it,Jeff Bezos’ fortune tops $120 billion as Amazon shares surge after hours,Apple earnings show iPhone ‘supercycle’ isn’t happening; and that’s OK,Good news for Super Bowl viewing — no more ads for toenail-fungus drugs,The Dow’s tumultuous history; in one chart,GoPro still has believers: ‘Closer than ever to achieving its ultimate vision’
33,2018-02-03,Exxon stock falls the most in 6 years after surprise earnings miss,Dow industrial marks biggest weekly point setback in 9 years; weekly drop of 1;100,S&P 500; Dow suffer biggest weekly decline in more than 2 years,Fed’s Williams tries to ease market fears the central bank will turn aggressive on rate hikes,Dow marks worst single-session point plunge--down 666 points--since 2008,10-year Treasury yield notches biggest weekly climb since Trump’s election,Dow drops over 600 points; stocks post biggest weekly percentage drop in 2 years,Apple's stock suffers first official correction in 15 months,Dow; S&P 500 still well above short-term trend tracker,Wall Street's 'fear gauge' hits highest level in more than a year at 17.60
34,2018-02-02,How long until you’re a 401(k) millionaire? Check this chart,Apple shares drop on disappointing outlook,Dow notches slight gain; but S&P 500; Nasdaq end lower ahead of jobs report,Amazon to 'double down' on Alexa as sales far exceeded expectations,Amgen shares drop 4% after Q4 profit; revenue misses,Dow logs a gain; but set for worst weekly decline in more than a year ahead of jobs report,Dow ends 0.1% higher,S&P 500 finishes down 0.1%,Nasdaq Composite closes 0.4% down,Stocks finish mostly lower; in choppy trade; ahead of key jobs report
35,2018-02-01,How the stock market has reacted to State of the Union speeches,Fed takes step toward rate hike as baton set to pass to Powell,Dow logs tepid gain; but stock market sputters as Fed signals coming rate hikes,Dow ends up more than 70 points; S&P 500 ends about 0.1% higher,Nasdaq closes with a 0.1% return,Dow ends up more than 70 points; S&P 500 ends about 0.1% higher,Stock market ends modestly higher after Fed policy update in choppy session,Nasdaq Composite up 0.2% at 7;420.11,Dow industrials up 88 points; or 0.3%; at 26;165,S&P 500 up 0.2% at 2;827.71
36,2018-01-31,Trump delivers his first State of the Union address: Live blog and video,Speed of stock market rise left pullback overdue,Dow suffers biggest drop in eight months,Dow ends 360 points lower; marks worst 2-session drop in more than a year,Yield curve steepens ahead of Trump’s State of the Union speech,Wall Street's 'fear gauge' breaks above 14 for first time since August as stocks end lower,Nasdaq drops 64 points; or 0.9%; to 7402.48; its biggest decline since Dec. 4,S&P 500 falls 31 points; or 1.1%; to 2;822 for worst session since Aug. 17,Dow sinks 361 points; or 1.4%; to 26;077; worst one-day percentage drop since May 17,Consumers very confident in economy; but uncertain how tax plan will affect them
37,2018-01-30,Apple subject of DoJ; SEC inquires regarding battery disclosures: report,Gene therapy stocks slammed after scientist reveals safety concerns,Nasdaq Composite off 1.1% at 7;383,S&P 500 down 1.2% at 2;820,Dow industrials extend fall to 400 points,Nasdaq Composite off 0.9% at 7;396,S&P 500 down 1.1% at 2;822.67,Dow industrials extend decline; down 362 points,FTSE 100 erases 2018 gain as U.S. bond selloff spooks investors,European stocks suffer biggest loss since November as bond selloff prompts caution
38,2018-01-29,Stocks have worst day of the year as 10-year bond yield trades at highest since 2014,Dow falls about 180 points; marks worst daily drop in nearly 5 months as Wall Street focuses on rising yields,Charting a bull-trend pullback; S&P 500 slips from record high,Stocks have worst day of the year as 10-year bond yield trades at highest since 2014,Dow falls about 180 points; marks worst daily drop in nearly 5 months as Wall Street focuses on rising yields,U.S. stocks finish firmly lower as Wall Street focuses on rising rates,Dow ends down about 180 points; S&P 500 closes off 0.7%,Nasdaq finishes session about 0.5% lower,Consumer spending hits 6-year high — as Americans cut savings to 12-year low,Tesla is planning to tap the auto asset-backed securities market for the first time
39,2018-01-28,Stock market steams ahead as big tech earnings and Fed come into view,Rare disease drug is driving Biogen earnings; but for how long?,Cascend analyst raises Apple price target to $220; disputes weak iPhone X demand,Not even Solid Biosciences’ latest disclosure could sour its market debut,MoviePass removes AMC theaters from its service in battle for revenue share,Apple stock drops after report of iPhone X production cut,Marathon Petroleum Corp. announces 15% dividend increase to 46 cents,Weekend roundup: Trump’s weak dollar | Is it ‘stupid’ to hold cash? | A threat to Netflix’s amazing run,These 27 S&P 500 stocks are blowing away the market with gains of 15% or more this month,Ford stock reaches new lows as company earnings raise more questions than answers
40,2018-01-27,Tesla stock bounces back to gains after late dip,Intel promises chip fix; sees no financial impact from Spectre and Meltdown,Dow ends more than 220 points higher as tech; health-care stocks rally,Major stock indexes close at record highs as economy remains in growth mode,All three equity benchmarks finished with a fourth straight weekly gain,Dow gains about 220 points; S&P 500 climbs 1.2%,Nasdaq books a 1.3% climb to close above 7;500,Dow; S&P 500; Nasdaq storm to session highs to finish at fresh records,Treasury yields climb after U.S. economy posts fourth-quarter GDP reading,Nasdaq joins S&P 500; Dow at an intraday record at 7;488.04
41,2018-01-26,U.S. stocks trade near session highs with less than an hour left of regular trade,Dow up more than 150 points at 26;548; S&P 500 rises 0.9% at 2;865,Nasdaq climbs 1% to 7;485,GDP growth of 2.6% falls short of Wall Street’s target,‘FOMO’ stock market sees a week of record inflows,No FOMO? Don't make this other classic stock-market investment mistake,S&P 500’s bull trend absorbs U.S. dollar-induced volatility uptick,Autos; airplanes boost orders for U.S. durable goods in December,Dow industrials rise more than 100 points as stock rally accelerates,S&P 500 up 0.5%; Nasdaq Composite climbs 0.7%
42,2018-01-25,S&P 500; Dow close at records on robust earnings in volatile session,Dow; S&P 500 end at a records but Nasdaq finishes flat in choppy trade,Dow Jones Industrial Average advances 141 points,S&P 500 up by 2 points,Nasdaq Composite down by 0.1%,U.S. stocks end mostly higher; Dow finishes at records,Soros says Facebook; Google have become 'obstacles to innovation',Soros says Trump administration is 'a danger to the world',Bank of America; Citi; others consider blocking bitcoin purchases with their credit cards,Dow up 84 points; or 0.3%; to 26;336
43,2018-01-24,Fattening 401(k) matches; not one-time bonuses; is how to make America great again,Individual stocks are getting a much bigger-than-usual jolt out of earnings,Dow ekes out gains as weak tech shares drag on broader stocks,Dow finishes at record but Nasdaq; S&P 500 slump in rocky trading session,U.S. stocks mostly close lower; technology weakness weighs on Nasdaq,Dow Jones Industrial Average ends at a closing records,Dow closes up 0.2%; S&P closes down by less than 0.1%; Nasdaq closes down 0.6%,Biogen earnings: The art of the (expected) deal,Ford earnings: Disappointing outlook; stock weakness among stumbling blocks,Cerus shares rise on positive late-stage results for anemia therapy
44,2018-01-23,S&P 500 breaks 54-year-old record for all-time highs notched in January,S&P 500; Nasdaq close at records; Netflix’s shares rally,S&P 500; Nasdaq end at records as Netflix shares jump 10%,GE earnings: Can it possibly get any worse?,S&P 500 gains 0.2%; Nasdaq Composite closes 0.7% higher,Dow ends little changed,U.S. stocks end mostly higher as consumer-discretionary shares rally,Nasdaq; S&P 500 end at fresh all-time highs,United Tech earnings: Expect questions about that $23 billion Rockwell Collins deal,GE's stock surges toward biggest one-day gain in over two years
45,2018-01-22,Here’s how stock performance in Trump’s first year compared to other presidents,Stock market ends at record as Senate moves to end government shutdown,Stocks end at all-time highs as Senate moves to end government shutdown,Dow rises more than 140 points; S&P 500 advances 0.8% to close the day,Nasdaq ends session with 1% gain,U.S. stocks end at records as shutdown crisis gets resolved--for now,P&G earnings: Tide Pod challenge and U.S. business expected to feature,Johnson & Johnson earnings: Expect a strong quarter for drug sales,Dow sets all-time intraday record as Senate votes to end government shutdown,Netflix earnings: Did price increases send customers packing?
46,2018-01-21,Halliburton shares rise after Q4 profit; revenue beats,A government shutdown ‘could reintroduce investors to the fact that markets go down’,This is what happens in the stock market when the government shuts down,As stock market rockets to records; TD Ameritrade to roll out round-the-clock trade,Now even Goldman Sachs wants in on cryptocurrencies and blockchain,Goldman expects Wal-Mart’s fortunes to improve alongside the consumer’s,Apple didn’t say it was hiring 20;000 new workers; nor bringing back all of its overseas cash,Merck leaps past rivals with latest lung cancer drug results,Apple; Oracle and Microsoft are expected to issue less debt in 2018,Millennials are getting older — and that’s good for stocks
47,2018-01-20,White House says President Trump in regular contact Saturday with Hill Republicans over funding,After dodging bankruptcy; Bebe Stores is ready for its encore,IBM broke a long losing streak thanks to some of its oldest technology,Ford shares sink to lowest level in nearly four months,Amazon raises Prime monthly membership fee by nearly 20%,ADT’s $1.6 billion IPO: 5 things you need to know,Apple moves closer to smart speaker launch; FCC filing suggests,S&P 500; Nasdaq add to string of 2018 records as investors shake off shutdown fears,Apple brings in data-science team in analytics push,Stocks end higher despite looming shutdown; S&P 500 and Nasdaq set record high
48,2018-01-19,Dow finishes up 0.2%; S&P 500 climbs 0.4%,Nasdaq books a 0.6% gain,Dow finishes higher to end week above 26;000,Russell 2000 marks fresh record,All three main equity benchmarks end the week firmly higher,S&P 500; Nasdaq shake off government-shutdown worries to end at records,Dow finishes higher to end week above 26;000,Russell 2000 marks fresh record,S&P 500 touches intraday record at 2;807.72; joining Nasdaq,Nasdaq touches intraday record at 7;332.06 in late-afternoon trade
49,2018-01-18,IBM shares fall despite first revenue growth in 5 years,Stocks finish lower as threat of government shutdown looms,Stocks end lower as investors fret over potential shutdown,The unsinkable U.S. stock market just tied a historic record for not falling,Nasdaq Composite finishes little changed in negative territory,Dow ends 0.4% down,S&P 500 dips 0.2%,U.S. stock indexes finish lower as 10-year bond rises above 2.6%,S&P 500; Nasdaq mark only third down day so far in 2018,Dow ends lower as Boeing shares weigh; but benchmark retains grip on 26;000
50,2018-01-17,Apple to contribute $350 billion to U.S. economy; add 20;000 jobs,Dow ends above 26;000 as main stock indexes stage late-session rally,Dow logs best one-day gain in 7 weeks as Boeing's stock provides 110-point lift,Dow closes up more than 320 points; S&P 500 finishes up 0.9%,Nasdaq Composite gains 1%,Dow ends above 26;000 for first time as stocks rally broadly,Dow ends at a record above 26;000--marking its fastest 1;000-point rally to a milestone in history,Dow logs best daily gain since Nov. 30,All three benchmarks close at records,Dow ends at a record above 26;000--marking its fastest 1;000-point rally to a milestone in history
51,2018-01-16,Dow tops 26;000; but fails to close above milestone,Dow ends lower in sharp one-day reversal,U.S. stock rally sputters as Dow fails to hold 26;000,Dow ends around 7 points lower,S&P 500 ends 0.4% lower; Nasdaq Composite down 0.5%,Stocks pull back from all-time highs to end slightly lower,Dow turns negative as Wall Street rally fizzles out,S&P 500; Nasdaq turn negative,Citi’s stock jumps as earnings clear ‘low bar’ and expectations brighten,Here’s what all 30 companies that make up the Dow industrials think about blockchain
